Positive Comments	Negative Comments
Our instructor has done well in guiding us in our subject.	None
He taught us to be professional in making a paper	None
He is considerate in deadlines	None
none	Doesn't give considerations and can't understand that there are things, us students, can't control. Does not entertain and answer our questions properly. He thinks highly of himself and says that we should not know things better than him even though we were asking with respect.
none	None
Nc	not too details his discussion
None	none
None	Too strict but it's the better for us.
One of the positive comments is that our instructor is always preparing modules and holding class meetings to explain the topic. Our instructor also guides us through our activities and teaches us how to solve problems.	None. But, in my opinion, our instructor is kind of strict with time. When the activity is time consuming, the activity deadline is too short.
He give positive score when you follow the instruction that he give	He is not teaching in Online Class his lesson is recorded and watch to us so lesson i didnt understand properly
He is very generous in terms of giving grades	-
Approachable	none
hahahaha	bianabasa lang yung lessson , magpapaattendance on cam daw jusko pano pag di naabot ng sc mo mukha ko edi absent ako, tapos napakastrict pa sa act imbis na maperfect mo yung activity mababwasan pa dahil ng format, tinatama na nga yung format mali pa din,mga kaklse ko late tapos 0 agad ang onting time frame lang tapos 0 agad?
He's so approachable in every students . He is good when teaching us.	He needs to improve on the way how he teach.
Strict in rules	Patience
He tried to discuss all the topics covered in Midterms even though we are late.	He does not give enough examples about the lesson especially when solving that is why we cannot understand it that much.
None	None
He give high score in every activities.	Even though he gave high score in our activities, he will minus it if we didn't follow his instructions. It is more like, our grade will be instruction-based. The other one is, I can't understand almost all of the lessons he teach. I can only understand it by studying it myself.
NONE	NONE
He's serious in teaching us.	None so far
He is hardworking to have a class.	He needs to explain more about the topic for us to be able to understand teh lesson.
None	Be more understanding and give consideration to those students.
considerate	n/a
Good at teaching	None
.	He is so strict in format like most of the time he depends our grade in following the format and sometines he don't have some consideration for us.
She teaches in a calm way which we are able to learn more calmly also	None
Good at teaching	None
He is an extremely kind and affable.	none
None	He always nags bout the file name scheme. He's explanations are based on what is written in his ppt. Lastly it's hard to understand his explanations about the topic.
He do the task so that we can learn from each discussion.	So far nothing yet
He is a kind of instructor that is kind and always makes sure that he was able to give knowledge to his students. He also makes sure that his students have clearly understand the lesson before he ends the class. But sometimes there are instances that we are not able to understand some topic from a lesson,most specifically when midterms has nearly come. Because of a lack of time, our instructor has no other choice but to discuss the lesson through asynchronous approach in which if we don't understand a particular topic, we were not able to ask him about that topic.	Nothing
gives a student a huge number of points whenever they follow the proper format filename.	Tho he teaches well, i can't easily get what he says during lectures. He is also too strict in terms of activities and has less consideration unlike the other professors. I'm hoping that he will not only teach with knowledge but will teach with a heart too.
He record the lesson and our topic and He teach us well	None
Always conducting classes	He shouldn't only read what's on the module, he should explain it thoroughly.
He excels at instructing	students who completed the criteria late should be given some thought.
Our Instructor teach us very well	Nothing
Being strict made me move	To be honest no hard feeling always treating students as its own level I know I'm a college student but that, that's to far from just strict
Good Lecturer	None
The positive that I can give is that the instructor is strictly following the rules and regulations of the school's standards and as an instructor.	The negative comment, on the other hand, is all about the strictness of the instructor and less consideration of such tasks and various situations. Another thing is the way of teaching in which most of the sessions are through recorded meetings which lessens the student's interest in learning.
None	He should give consideration for all the students instead of giving 0.
None	None
None	None
She's nice and easy to approach. She always make sure that we are coping up in our lessons and discussions.	none
She's nice and she always make sure that we are coping up to our lessons.	none
None	None
gives us high grades	He's not approachable; we don't have the right to question some of his topics; and he gives us activities even though he doesn't teach them.
He teaches alot of things and make it easier for us to understand every topic he tackled.	None
Engr. Villena is very approachable, she make sure that every instruction is clear.	None
None.	Unclear directions.
He's a good instructor and give us enough time to accomplish the tasks	N/A
.	.
I have nothing to say.	First of all, he is so strict when it comes to activity. If you turn in late and you stated your valid reason, he didn't accept it. It is automatically 0. Next, when we are asking him about the activity, he didn't aswer us directly. All we want is a good answer because we have a good question.
He managed to make the class catch up to the lessons even though the course started late	i find his discussion fast and hard to keep up
.	.
He is very strict making everything organized	None
He is good on giving us instructions.	Whenever he is discussing or teaching us a lesson, he never thought us on how to get the answer he always said " isearch nyo na lang kung paano yon nakuha".
Explaining the lesson in a good way	Nothing so far
He disciplined us for our good. He said that as a student, we should be more responsible. It helped us manage our time in doing activities.	He is very strict when it comes to activities, due dates, and instructions.
He's giving us a lot of time to do our activities	none
He regularly conducts online classes.	He is not considerate. I gave him my valid reason but he didn't respond, or at least read my message. I can accept the consequences of my actions by passing my works late, but at least read my message regarding on why I am late. It is written on his syllabus that if it's late, 0 is your grade automatically. But with valid reason, he'd consider.
He is chill when lecturing	Maybe expanding of examples and explanations
She conducts online classes regularly. She's on point towards her lectures.	N/A
He provides all the lectures, lesson videos, and other materials that will us understand more the lectures.	N/A
The instructor teaches well, making sure that everyone understands the topic completely	none
he wants things to be good for us when it comes to our research topic	none
Our instructor is direct to the point and elaborates the lesson as good as he can.	Sometimes its hard to understand the lesson, and the message were not clear although its still good since our instructor is trying his best.
N/A	They need to explain things better, not just reading it off the presentation. The examples are also confusing because they also read them off the presentation and the solution is already there. They also let us experience what they experienced when they were a student like, who gives an f with how your interviewer failed you by just not reading the direction. It's your fault, not ours. Stop pushing your past experiences to us. Also, how he grades us is ridiculous. He based them on the FILE NAME, not even considering that the answers are correct INSIDE THE FILE. He also didn't read the essay that we made and make sure that they are connected with the topic he gave us. He just based it again on the FORMAT of the content. Thank you.
Giving a fairly grades in the given activity.	He doesn't explain the lesson clearly. He should focus on teaching us the lessons we have and make sure that everyone understand it so that it helps everyone to answer the given activity correctly.
Gives a brief explanation to some difficult parts of the lesson	Always leaning ang using videos from the web. Maybe using his personal approach to the lesson will turn out pretty good
Concerned about students	Assigned all of her students to report or discuss the topics
None	He is very strict with small things like when you put wrong file name scheme he will deduct 10 points
Easy to communicate and lessons are easy to understand	None
He is approachable and good in teaching	He is sensitive, but its also good to show the students discipline. We understand it.
He is a good instructor.	He discuss the lesson too fast.
Provides materials for learning.	I think what he needs to improve is that how he explain every lesson.
She is considerate.	none
Accurate lessons	None
Everytime na may hindi kami nauunawaan pinapaliwanag niya nang ayos	None
She makes use of the time allotted for the subject to discuss to us different topics.	N/A
Good sharer	None
Minimal and effective.	None.
She always gives examples in every topic she's going to discuss and explain it clearly and step by step.	None
Our subject seems very difficult but he makes it easy for us to understand every lesson and always encourages us that we can do it.	None
none	many
He discusses every topic and gives us module every before or after classes	none
Gives long time for our activity	Solve the Differential Equation on his own, for me he thinks that we can catch up that easily on what he's doing, but were on same level as he was, solve equation fast without explaining how that happen.
She is jolly, and she teaches effectively.	None.
I learned	None
A great instructor	none
none	none
Magaling magturo, madami matututunan	Matapang, strict, nakakatakot mag approach
Criticize every reporting very well.	Needs some discussion from her because sometimes we cannot comprehend the topics just from our classmates through reporting.
she always make sure that we are learning in every topics that we have.	none
Our instructor is detailed when discussing the lessons	None
She conducts classes regularly.	None
Very responsible	none
Ms. Charmane discusses our subject clearly and with kindness.	none
ALWAYS ACTIVE IN TEACHING	N/A
He construct his discussion clearly, specially humble voice lessen our pressure.	Nothing
She is so nice and she gave us the grades that we deserve.	None
She used taglish language in explaining the lessons and by means of that we understand every lessons that teaches on us.	None.
He is a type of instructor who is very considerate and very nice. He always thinks what will be good for us.	None.
She is very strict in deadlines and also to attendance	Being too strict
She is good in explaining the topics	none
kind	none
He always explain the topics and give examples.	N/A
She make sure that everyone understand the lesseon	N/a
Strict in a good way	None
my instructor is very approachable	none
He is dedicated to everything that he teaches.	Have some energy when discussing and elaborating on his lesson because some of us can't take even a small piece of information about a certain topic he is teaching.
She's so kind and she teaches well.	None, the problem is with us students, sometimes it's hard for us to understand the topic.
She's so very considerate and nice to us.	N/A
none	none
Very good at math	always angry at students
good at math	All ways angry to the class if the class don't knows the answer (lagi po high blood)
good prof and teach us very well	none
The topics were discussed accordingly and we were able to understand every topic	None
He teach a lot and He always make thinks clear before leaving in meet	N/a
He always make sure that his students will understand the lesson clearly.	None.
He is always present	Nothing
explains everything very well	none
strict	strict
teach well and good teacher	too strict and you cant pee in the middle of the class because when you turn off your cam he will call you
None	None
He explains the topic very well	None
very detailed	none
he taught us well	he teach so fast
He is always on time	none
The topics were discussed accordingly and we were able to understand every topic	None
Effective instructor. We learn a lot.	None so far.
He is very detailed and informative during our discussion that helps us understand more about the topic. He provides reference for further information.	None so far
None	None
kind	none
good	none
HE DISCUSS THE LECTURE PROPERLY	NOT TOTALLY NEGATIVE BUT HOPE TO POST THE PDF OR PPT OF THE LECTURE
good at explaining the topic	none
He explain clearly those lesson	None
Maayus magturo	Dun lang po sa need to improve sa tingin kopo ay dapat po ay naglalagay siya or nagupload sa google classroom ng book for reference at ppt hindi po yung puro video lang na nasa google drive ang nakaupload
Explains everything very well	None
Our instructor is doing well as a teacher for us students learning the course subject.	I don't have any negative comments about my instructor.
Sir Galeleo is a good instructor that always share his thoughts not only about the topics that we need learn, but also about life.	None so far
all topics are discussed were we can understand easily.	none
He always make sure we will understand his lesson clearly	None
He is approachable	Nothing
I can see that He was very knowledgeable about the subject and can response to student's questions.	None so far
good	none
all topics are discussed were we can understand easily.	none
Our instructor teaches us very well. He always attend the class when it is synchronous and also make class asynchronous and give us time to do activities. He also give time to answer our question even when the class is already finished.	I don't have any negative comments about our instructor.
He is approachable	None
good	none
good	none
He knows a lot.	Nothing.
Nothing	His consideration and visual aids. I suggest that he should not require us to open our camera every discussion so that we can focus more on the topic that were being discussed. We are distracted on how we look on the camera. Instead of focusing in the topic we more focus on how we can look presentable on the camera.
He discussed the topics like he was story telling. He's very calm and knowledgeable about the subject.	Nothing.
kind and approachable	none
very hands on	none
He is good in teaching	I think the class hours are not enough for the discussion of lessons
Motivated and Fassionate	N/A
none	none
She always give example every discussion, and also she is approachable on us as a her student.	N/a
very hands on	none
He is well equipped every time he conducts an online meeting.	Strict but reasonable and sometimes he does not tolerate valid reasons about absents and not attending the class.
very kind and understanding	none
Good	None
kind	none
Laging nag kaklase	Wala naman
She's kind and is very attentive	None
Good in teaching	Better if YouTube videos are presented while in class and not just uploaded on stream
Laging naka open cam so nakikita niya kung anong ginagawa namin and nag checheck po siya ng attendance lagi and if may wala nung nakaraan he gonna ask why.	Nonee
My positive observation about our instructor is that she is patient with all of her students.	I have no negative comments about our instructor.
Good in teaching	Hard to focus in class because of lessons so I think better if there will be energizer or breaks
Punctual and good in teaching, he makes resources accessible and also considerate	None for me
I guess his punctuality.	We're the ones creating presentations that we don't have any idea of, and will also discuss in class, not him.
She is very good in delivering the lectures and also she is very considerate in all times	So far no negative comments.
Very good in teaching and provides interactive discussion	Better if there will be breaks in between if all class hours (3 hours) will be used
None	None
He knows the what he is teaching and provides examples for better understanding.	There are none so far.
He is good explainer	He is very strict about opening our cam
Our instructor is a bit strict in online class, we need to open our camera and I think that is a positive outlook, it makes us more attentive in class. But if there is a emergency or something our instructor let us turn of our cameras.	About discussion, a simple explanation is way better than a complex. Need to get to the key points and simple explanation.
Good	None
He is kind	His laboratory is hard
She discuss quickly	She is also confused sometimes on the topic
Wala pa po	Wala pa rin po
He is a good instructor, he knows his subject well	None
She makes us understand the topic for that day	None so far
Since wala po siyang record sa gmeet nag gawa siya ng paraan to do it po	Wala pa po
He is a good instructor, he knows his subject well	None
Pagkatapos ng klase may self eme po para macheck kung ano yung naalala at natutunan namin.	Nothing
Always updating and giving us.	None
None	None
I had fun doing our lab po since he explain it clearly and made us to is Isa Isa po.	Wala naman po
He teach well	The laboratory activities are kind of difficult.
He is kind and responsible instructor.	None.
Meron syang YouTube channel na pwede namin iexplore	None
She explain how to do our lab po and kinda mabait	Nothing
The instructor clearly discusses the topics that I'm able to understand it easily.	None.
He is good in teaching the subject.	None
He make sure that every session we gained a lesson and understand the topic.	None
Maayos naman po magturo ang aming instructor	For me po, ay wag 1 hour lang yungduration ng klase. Minsan po kase ay nalelate kami for the second subject and parang gipit po sa oras kapag 1 hour lang.
She discussed the topics clearly.	None
He always provides materials like ppt while we are having class. He also shows us the step by step computation (if needed) on every topic.	N/A
Sir Galeleo discuss every topic and elaborate it properly.	N/A
Sir is dedicated with his career in teaching and he ensures that the students learn the lesson he teaches.	I have no negative comments for our Instructor.
Sir is hands on teacher that ensures that the students learn the lessons.	None.
The positive comments that I can share are Ma'am is kind, and teach us well, also her class is not boring.	N/A
explains the lesson well	n/a
her way of teaching is easy to absorb and she knows how approach will her student will understand those topics	none
none	not so loud voice during discussion
He always make sure we will understand his lesson clearly	None
Always updating us and easily to contact if the study have concerns.	None
I can see that he is dedicated in teaching which reflects on the way he teach the lessons. Thus, making it for us to easily understand the topics.	I just don't like the setup because it is online. Just think of it like this. Why are we using a simulation website like amatrol to test how to use a caliper instead of going to school in order to learn using the tools properly? For me it is not about our instructor but the way our subject was set up.
NA	NA
NA	NA
He explains it very precise.	None as of the moment
He explained every topic very well.	None
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
considerate, and well prepared every class session	none
He is very well prepared and good in teaching	none
Even though she is late she cope up.	None
He teach very clearly	none so far
He conducts classes formally.	none
understandble lectures	none
He explains things as simple as possible and easy to remember.	Nothing.
She is understanding	nonr
She explains things in a simple way.	Nothing.
None	None
She is kind and considerable instructor.	None
She's so kind	N/a
He is a good instructor and he teach us very well	Nothing
Our is considerate and strict in every laboratory experiment and always explaining the lessons thoroughly so we can absorb everything she teaches us.	N/A
easy to talk to	focus on the topic while discussing something
He is energetic in teaching.	He should conduct regular classes.
He's good at explaining.	He notices and points out everything
Fun	None
Our instructor is very good at doing his job. He is kind and not strict.	Do classes regularly
She is always available for any student's concern and provide references.	None so far
She's great at explaining everything in our subject	Nothing
He is a chill and a funny professor	none
He's always looking forward about how we learned in every classes.	Over strict, to the point that even a poor internet connection is not an excuse.
We always enjoy the class and learns a lot	N/A
Good professor	None
Good teacher, she make sure that everyone understand the lesson.	In online meeting her voice is choppy.
He loves to teach, correct, share his own thoughts.	Attend to every classes except when there's emergency.
Good	Giving laboraty that he didnt teach
Explained topic well	none
approachable	n/a
n/a	sometimes discussion are kinda hard to understand
he is approachable	Sometimes in discussions he speaks too quickly, leaving us unable to understand what he's saying
For me none so far	None
She is very kind and has a good teaching skill	None so far
She's easy to approach and she always make sure that she answers our questions.	None.
He manages his time productively and is quite knowledgeable about the course he is teaching.	none so far
Always active	None
He's good at teaching and explains very well.	None
Clear and precise teaching	None
KIND	NONE
Clear and precise teaching	None
Her classes are fun.	none
He's approachable and makes sure that we get what he mean whenever he's teaching.	None.
He's very intellectual and very collaborative with students.	His mic, because sometimes he's not audible.
Very mindful	The need of improvement is the mic of our instructor.
he always remind us all the thing we need to do every sessions.	the microphone is choppy and hard to understand
Good instructor and good teaching	N/A
He is good at explanation about the topic	I can't understand much because the voice is too low and the surrounding was noisy
Our instructor encourages us to not simply remember the date of the significant events that happened in the past, but identify and recognize the significant effects of them in the present time.	Our instructor is most of the times inaudible.
I am fascinated in his way of speech, the unbiased interpretations of the narratives from history and lastly his background that engages my optimism in understanding the RPH course.	Mostly in the Audibility where in the times in which he ask questions, we still had this identity crisis of misunderstanding whether he expect us to do or not.
Explains everything properly	none
She teaches us step by step on how to accomplish the given Laboratory Activity	None so far
Our instructor is polite and attentive	I don't have negative comments about Sir Nicolas the thing is when he is at school the background voice are louder than his voice.
Considerate.	I had difficulty understanding the lesson because of the volume of his voice and maybe because of the connection. I cannot comprehend enough on his lessons because he discussed everything verbally there is no visual presentations or anything. Some students tends to learn if they are seing something so i think that's one thing to consider.
He is uploading the learning materials in the google drive including the laboratory activities and recordings in an organized manner so we are able to access them easily.	For me, it is important to consider the pace of the discussion so that students can follow through the online session.
She clearly explained our lessons and clear instructions in our laboratories.	None.
He discussed the topics really well and allow us to participate in the discussion. Also, even if he assigned a reporter for a certain topics, he still input additional information or further explain it so that we can understand the topic better.	None
Laging nag tururo	Masyadong mabilis
She is always on time and gives reasonable due date for the activities and assignments	Since she was assigned late on the subject, she gives multiple activities/assignment
She discussed the topic well and every next session, she will have a short recap about what we discussed last week. Also, she is punctual and makes an effort to check our activity.	None
Our instructor is punctual, connects the topic in work-related application and discusses it thoroughly.	None
Our instructor discusses every topic thoroughly and connects it to work-related application. He is also making an effort to demonstrate every activity that needs visual presentation for us to understand it better.	Sometimes, I am a bit confused on his explanation.
N/A	N/A
She explains the topic well.	Be kinder when answering the student's questions
Our instructor is very kind, and he always explains our lessons well. He always interacts with his class and makes sure that his students learn something before leaving the classroom.	None.
He is always on time and explains the lessons well.	none.
She's teaching well.	She just have to give us more time about the submission of the laboratory activities and elaborate or explain the topic more.
Our instructor discusses the topics and allows us to experience using tools related to our subject such as oscilloscope which we only encounter on laptop for 2 years.	For me, voice volume is important in discussion because sometimes, if it is too soft, students cannot hear what the instructor is saying.
committed in teaching	poor microphone, fast deadlines for laboratory reports that we mostly get weekly.
I think one of the positive comments is her strict attitude for the students to be responsible and listen to the class.	I don't have any negative comments to our instructor
He's a good teacher and explains the topic very well.	We only have 1 hour for lecture because he's starting the class at 9 AM until 10 AM but our schedule is 7 AM - 10 AM. He's also not giving us the PowerPoints he discussed, the only thing he gave us is the recorded video lectures. In terms of Laboratory activities, we sometimes have consecutive tasks from him which also affects our time for other tasks.
He explains the topic well.	He does not upload the ppt on our google drive although he uploads the recorded lecture. He conducts his class for 1 hour that sometimes overlaps with our next subject. He send our laboratory activities whenever and not during his time that sometimes overlaps with our other laboratory activities.
He explains our lesson well and always provide interactive examples making the class interactive.	None.
Our professor is very kind and is interactive with class.	None.
He teaches the topics well	None
She elaborates the topics well	None
He explains the lesson well.	Be more considerate for those students who uses data for online class and allow them to turn off their cameras as open cameras consume a lot of data.
She's discussing the lessons very well and she really knows what are those topics the her students need to learn.	None.
He's a professional teacher and he helps his students to better understand the lessons.	None.
He's eager to teach his students even if the class is scheduled early in the morning and he's willing to wait for his students to attend the class.	None.
He's explaining the lessons very well and has the mastery about the topics that he will discuss.	None.
He elaborates the topic well.	None
He's good in teaching explains the topic very well.	He always wants us to open our cameras when he's discussing. He's strict on attendances.
She is a great professor.	N/a
The positive comment I can share about my instructor is that they teach us very well and everything they teach is very clear so we understand each lesson better.	I have no negative comments about my instructor
She teach us well and very approachable	n/a
very kind instructor	none
Yes she is considerate to us	none
She always conduct classes regularly in face to face and online.	None
She always make sure that her lesson will be understoood clearly	None
He is direct in teaching.	None as far as I know Mr. Gally.
His concern about his students	He often give lectures and online materials that we may use to learn more about this course.
Our instructor is always on time during ftf classes and gives laboratory activity in proper intervals.	The time given to us to complete the laboratory activity is too short
She discuss lessons in a time saving manner but we still learn more about the topics.	none
The way our instructor delivers the lessons are simple and easy to digest	The laboratory activity is a bit complicated since we are new to the simulation software we are using
She's a nice professor	None
She elaborate all the terms and she gives instruction so well. She make sure that we understand all the task that we do.	I haven't see any negative comments about my instructor because she all have the traits that an instructor have.
He always conduct classes regularly.	none
What I can say about our instructor is that he explains every lesson clearly especially here in basic workshop and machining where a lot of tools are needed to learn.	None
Explain the lectures well	none
She's very approachable and soft spoken and she explains the lesson thoroughly.	None
explains everything properly	none
He is always on time	None
-	During online class we cannot clearly hear ger voice maybe because of the device or her internet
He elaborates and explains the topic well	None
Our instructor is very kind	our instructor is already great but it would be greater if she uses lapel or speaker to louden her voice
he always teach us a lot of stuff	n/a
Considerate	None
mabait	None
EASY TP UNDERSTAND TOPICS	NA
He is good in teaching and always have a good explanation about the topic that makes me understand the topic more easier	None
She helps when we need it and sometimes she let us do explore the activity	None
I'd say that she gives us time and the instructions that we should follow properly.	Nothing in particular.
None	None
She's patient and dedicated	Not much
Give enough time to finish the activities/lab.	None
She's smart and very professional.	Nothing.
Our instructor is kinda friendly but sometimes a little hot headed.	provide a more comfortable atmoshpere for the students
Sir Mikko's very determined and professional	NOthing
very friendly instructor. recommended prof	none
very intelligent and smart professor	none
She is approachable	None
I can see that she is ready every class. The presentations are not boring because it contains cute animations (still connected to the lessons) that can get our interest even if the class hours are long. And after reading the contents of the presentation, she still explain it to us in a way that we can easily understand the lessons.	I don't wanna call it as a negative comment, but maybe if there are lot terms or long explanations, she can stop for a while and then explain it in a simplified form. It's not that she doesn't explain it, but I found in confusing if she read the presentation then after the last sentence she will continue to explain it right away. I feel like we don't have enough time to digest the first infos.
Our instructor shares valuable knowledge which helps understand the course easily.	None so far.
Cooperative,Nice and Approachable	None
Cooperative and Approachable	None
He share other knowledge that we can use in the near future.	Sensitive and He also always required to open the camera, he does not considered the student that only use data to attend class.
Share related topics to class	Not considerate on student who only has data to attend class, he always required to open the camera while on class
He really focuses on making us understand the concepts on a deeper level.	His audio is inaudible whenever he is teaching from the campus.
kind	inaudible
Passionate on teaching	Not enought time to discuss topic further
He is passionate in teaching	Not enough time to discuss topic futher
Fun, great at teaching and can easily understand the topic discuss	None
She is good at teaching and easily undestand what she say and explained.	None
He give a consideration on the student who don't answer his question and give it other chance to answer. He also explained and discuss topic fun and nice	None
Considerate on student and discuss the topic well	None
Engr. Ivy is a considerate professor and she always ensure that we learn what she teaches.	Sometimes the deadline of the laboratories are not enough
He gave a chance to the student who not answering the first question he ask. He also interact to the student to form a strong bond. He also discuss the topic that unclear to us.	None
He discuss topic again that were unclear on student and interact on them	None
So many, the class having fun and great when he start the class. He gave consideration to the student who late and cannot attend class. He also hand-on teaching interactive and discussion.	None
Soooo many, the class were fun and great, student will a lot of things and he is so considerate, also hands-on on teaching. Interactive class and discussion, comprehend unclear explanation of student	None
Sir Calpito is very friendly and he always encourages us to speak confidently. He knew a lot of things that we can learn from him.	For me, there are no negative comments I can give to sir Calpito.
good at teaching	none
Good at teaching	none
Our teacher is kind and always discuss the lessons/laboratory activity much more easier to understand and to do.	N/A
NA	NA
He is a good teacher. He is hardworking.	N/A
He gives some important info	None
Kind and patience	N/a
She is very kind and super considerable	I don't have negative comments because she is very nice
I think he is very strict but i think he is kind person	None
Very serious and talkative at the same time.	
She provides us laboratory for supplemenentary learning for the subject.	None
She is a beautiful human being. Mam Ivy is a disciplinarian, yet always so approachable and warm at heart. Performs well in everything she undertakes.	no negative comment
Our instructor guide us on our laboratory which makes it easier for us to finish on time.	None
Kind and considerate	laboratory activity deadline is too soon
Mabait, magaling magturo	Wala
Our professor are always right on time.	Personally, I think that our professor need to lessen the reporting of the class and if Sir would give a report I think that he should provide the lecture materials
Mabait, maayus magturo	Wala
Good Job po Sir âœ¨	None
positive vibe while teaching, makes us more active while attending class	none
MABAIT MAPAGKUMBABA AT MAY TAKOT SA DIYOS	WALA
strikto very professional	wala po para uno
She teach a lot	Nothing
He discusses the lessons clearly and easy to message with when there are concerns	None
he discussed clearly	none
He discusses the lessons clearly.	None
None	N/a
He always do his best for us to learned about the topics that is need to discussed.	None so far.
he discussed the lesson clearly and he makes every students active during a meeting	none
Effective instructor.	None so far.
He is kind and good in teaching.	none
she is kind and easy to approach	talks fast
Our instructor allows us to try simulation during classes aside from discusses the lessons. He also test our insights by taking pre quiz in Amatrol so we can understand the measurements readings clearly.	None
Our instructors are very kind and considerate whenever we have an activity to accommodate	none
He clearly discuss the lessons.	None
She is soft-spoken and not very aggressive in her way of teaching.	Some of her strategies in teaching because sometimes she is just reading the slide, and sometimes, we cannot hear her perhaps due to her mic maybe other reason.
His knowledge about the topic can be seen through the way he teaches the students. It is very effective and can be easily understood.	I think that due to the duration of our class, which is usually only one hour, it limits the topics that can be discussed to us. It also lessens the time he can provide examples about certain lessons.
The way he teaches are interesting which shows that he knows the topic quite well. Thus, it makes for the topic to be easily understood.	Personally, I don't like when the students are assigned to discuss a certain chapter of our lesson. I just think that if the instructor is the one that discusses this topics, it will be a lot more effective and can be easily learned by the students.
She is enthusiastic when it comes to teaching. Her professional background really shows how well-verse she is towards the topic.	Maybe it is not in her control, but the way she present ppt or learning materials as such are not very effective. This is because powerpoint presentation can be small to the point that it is not readable.
Her professional background as an engineer really helps when it comes to showing a real life example where our topic really needs to be elaborated.	Slow pacing of the class.
teacher has a friendly atmosphere	n/a
He is a well-organized individual, which I appreciate in a professor.	None
Generous in giving scores.	None
Very remindful of things	n/a
He is not a terror instructor, and you can confidently raise your hand in recitation or when he is asking a question.	The background noise when he is discussing it is irritating and distracting. He always looks to his side, so I am sometimes confused about what he is looking at.
She knows how to handle the subject and students.	None
Giving strong insights towards her discussions.	N A
She is nice , considerate and kind to her students.	no negative comments because she is treating us nicely
I enjoy and also learn a lot during your class	N/A
Sheâ€™s very gentle with u, she doesnâ€™t pressure us on our activities.	N/A
Thank you po Ma'am to all of your effort to teach us po <3	None
Her teaching methods are great. Very clear and concise.	None
Fun	None
Ma'am Ivy always do her best for us, as her student to learned about the topic that is being discussed and she also demonstrated first about the equipment that we will used in the laboratory activities.	None so far
He is good at teaching	None
Good instructor and kind to the students	None
Fun	None
He is encouraging us to be active and to listen to our discussion so that we will learn more things after class.	none
Sheâ€™s very gentle with us, she doesnâ€™t pressure us on the activities that weâ€™re given to us	N/A
Sheâ€™s very intellectually discussing the lessons	Sometimes my professor have a slow internet
Talkative and Happy Teaching	None
The teaching is easy to understand	N/A
His teaching methods are great. Very clear and concise.	None
She is very good at teaching to the point that I understand her lesson clearly.	none
preciseness when teaching	none
She's nice , and easy to understand.	none.
Talkative and Happy Teaching	None
The teaching is easy to understand	N/A
Naiintindihan nya po mga problema namin sa internet connection	Medyo mahina po ang boses ni sir hindi po masyadong maintindihan pag nagkakasabay sabay ang nagsasalita sa pwesto po ni sir
The instructors knows the course really well.	The tone of the voice is sometimes low so in online classes, it's harder to hear.
she's kind and make sure that we understand the lesson	none
The teaching is easy to understand	N/A
Heâ€™s considerate sometimes especially when we canâ€™t have class with him due to some problems that weâ€™re encountering in our workplace.	N/A
He understands us.	None.
She explained every topics very well	None
She is kind and have a long patient and beautiful	Nothing
Nakakatuwa lang po na parang millennial din po si ma'am makisalamuha samin	Wala po akong maisip na negative
One of the best instructor.	none
He is good at teaching and we easily understand the lecture because of the way of his teaching.	I think the time management dahil minsan ay late na kaming nage-start ng klase
organized, patient and able to clearly explain complex topics	N/A
One of the best instructor.	None
One of the best instructor.	None
She teaches well	None
Organized, responsive, patient and able to clearly explain complex topics	N/A
He's a joyful person	None
mabait at mahinahon po	wala po
She is good at teaching and she always connect the topic in real life by giving an example	I don't have a negative comment for her.
Organized, responsive, patient and able to clearly explain complex topics	N/A
USING HIS OWN KNOWLEDGE AND UNDERSTANDING TO EXPLAIN THE LESSON	NOTHING
Super calm and bait pong magturo ng mga lectures.	None po
Considerate	None
She is kind and considerate instructor	None
She always conduct online classes and she is good instructor	none
None	None
Her teaching methods are great. Very clear and concise.	NOTHING
Kind and joyful	None
Kind	N/A
My communication to others is getting better by attending her class.	None
She's helping us improve our solving by giving exercises	None
The positive comment that I can share about my teacher is that all the information that we should know in our lesson is very clear and above all he is kind to teach.	Nothing
I can understand more clearly my self and love my self by attending her class	None
He is well prepared	none
Considering the time in our long quiz by giving us chance to submit.	None
I can learn a lot	none
He's friendly and the class is fun	None
I learn a lot in this subject	none
He will teach it again if we don't understand.	None
I learn a lot from subject and I'm very thankful to sir.	none.
To be honest I had enjoyed the online session of online class.	There are instances that the voice of our instructor pauses in short time, I dunno if it was due to internet or any other circumstances.
	
	
I can say that my instructor in Power Electronics did well since he discussed the topics clearly.	None
Sir Darwin discussed the topic clearly.	None
She clearly explains the details that we need to know and respond to the parts where the student are not clear about.	I can't of a negative comment that I can give about Ma'am Mara
She's kind and approachable.	None
Kind and approachable	None
My instructor in fundamentals of data communication discussed our topics well and clear.	None
Sir Galeleo discussed the topic clearly. He also adds additional information in every report.	None
Magaling magturo at maintinde sa estudyante	nothing
During his class, he let us explore the website Amatrol. Through this we learn how to use different equipment that will help us in the future.	None
My instructor in basic workshop and machining discussed out topics well and clear especially in our laboratory activities.	None
She's kind and considerate, and especially when she is good.	Her audio was not that loud that sometimes it was hard for me to hear what she was saying.
My instructor in Electronics Measurements and Instrumentations discussed our topics well and clear including our laboratory activities.	None
Ma'am Ivy discussed the topics clearly. She also demonstrates to us the laboratory and she let us explore it.	None
Mabait	None
