Positive Comments	Negative Comments
The activities she conducts during face-to-face classes are fun and it really helps us understand the topics even better. She is also very understanding.	None
she is funny and interactive with her students	-
Well, our instructor is approachable.	NONE
She is very considerate.	Most of the time, she only sends videos from youtube and give us activity even though she is not sure if we understand the lesson completely.
Understanding and Open-minded	Hard to contact
She's kind and approachable	None
He always make sure that we are active throught the chat in google meet.	He doesn't give example problem when discussing the lesson.
He conducts classes regularly.	None so far.
She does a good job of explaining every concept and makes sure that we take away something from each lesson.	None so far.
She conducts classes regularly.	None so far.
Kind	None
N/A	not totally negative comment but he is giving only a few days to complete the activities that he assign.
He always comes to class	n/a
NICE PROFFESOR	NONE
Teaches well and she's open for questions.	Lacks of elaboration in the topic.
He is smart and he knows a lot about this course. He's also considerate and understanding.	-
He elaborates every topics that we have.	He is a bit fast when lecturing.
Mapagpasensya magturo at napakasipag.	Medyo complicated ang tinuturo, minsan hindi abot ng aming kaisipan ang sinasabi.
Mapagpasensya at considerate na teacher. Hindi ko pa nakikitang magalit.	none
While we are in our class, he always makes sure that each one of us are active and participating. He also always makes sure that we gain some knowlege after the class.	N/A
He give us break so that we can understand the topic and he is good at explaining a certain lesson	None
Our instructor is very nice example of her being kind is when we are in face to face class and she give us a problem that we need to solve, me and my seatmate can't get the answer when I call her for some help she easily go to us and guide us that is why we easily understand how to solve the activity, I appreciate her for being a good teacher. Also she is very considerate professor.	None
He always elaborate the topic and allow students to present their ideas	none so far
He is good at speaking, he is always present.	none
His way of teaching is excellent, since he always try to relate every topic to a real world system/application.	None
His discussions were all clear and he is attentive if we have questions.	None.
Understanding and kind in a Professional way	None
Sir Culla is very considerate with almost everything and it is really helpful for students like us who is still adjusting. Aside from that, his approach in teaching is very efficient and effective. I learned a lot from him.	None.
The positive comment I have to Sir is that he is easy and comfortable to talk and ask to. Sir Culla may leave us the recorded version of the lesson, but the video presentation was well-explained, it was complete.	None.
Mr. Culla is one of our best instructors; he do understand every students situation and always considered it. He is also passionate about teaching his students.	None
Smart and Very informative	-
She is approachable	None
none	None
Good at explaining	None.
Jolly, Lagi pong nakangiti	None
She is approachable and understandable and I like the way she teach	None
Ma'am Baynas is one of the kindest prof.	None
She's kind.	None
None.	None.
She's passionate about teaching us.	None
None.	None.
Kind and considerate	None
kind teacher	none
She's good at teaching.	None
She is very good on explaining of what we need to do about the activities that she assigned to us.	None
She's good	none
She's kind and explain things her way.	She's known for giving low grades last year so I'm hoping for better this sem.
He's good in teaching, maximize well the time and the discussions were all clear	None
CONSIDERATE	NONE
MANY	NONE
MANY	NONE
she is a kind and good teacher	none
Never leave us behind and always there for any concern we up about the course or activities. Also clarify all the lecture in class.	Nothing.
Very detailed and kind	None
She delivered the lessons well and finds a way to make the activities easy to comprehend by taking it slowly but surely precise.	Nothing.
The plate to be made is well explained and the due date is long given	n/a
Very kind and forgiving also very cooperative to the woes and joys of the class hehe	That one online class session where she taught how the formula was derived, but honestly, its kind of hard to see what she wrote using some app, and she didnt have the pen thing others have like sir amboy who has great writing and clear letters words and symbol. In Short a pen for online class.
Very considerate and understanding when it comes to the deadline of the submissions.	None so far.
She is very clear and cosiderate	None
Plates are fairly easy to accomplish with given time.	N/A
She discusses every topic in details and make video lectures and post it in google classroom for us to review the lessons.	None
She gives us a lot of time to finish our works. She make sure to discuss the projects properly.	n/a
The instructor is very eager to teach and elaborate the topic, albeit in video recordings only.	The instructor makes the course even harder and more confusing due to his teaching and assessment style.
Masipag	n/a
She's very patient at mabait po as well as considerate instructor.	She's been our instructor since last year 2nd semester and until now ay wala po akong negative comments sa kanya. Keep up the good work poðŸ˜Š
I think I can explain our instructor as resourceful, because she uploads recordings that help us a lot in making plates.	-
Good	None
She instructs us well and let us be creative in this subject.	None
Explain the lessons and tasks well.	None
He is very considerate when it comes to submission time.	None
Our professor is considerate	Laboratories seems to be too hard for us even though we have our partners.
He does not settle on just what's on the book but also shares extra knowledge about a certain topic.	None
Our professor teaches well	none
Ask questions to make interaction with the students	Telling that we should be professional and not be late but he is late
The instructor gives additional learning materials that can be applied to our activities.	None.
Consistency at teaching	None
